ocid,character_name,date,character_class,remain_ap,list_field,list_index,final_stat_stat_name,final_stat_stat_value
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,0,최소 스탯공격력,119805704
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,1,최대 스탯공격력,133117447
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,2,데미지,110.00
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,3,보스 몬스터 데미지,310.00
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,4,최종 데미지,58.30
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,5,방어율 무시,89.85
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,6,크리티컬 확률,103
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,7,크리티컬 데미지,68.85
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,8,상태이상 내성,102
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,9,스탠스,100
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,10,방어력,99999
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,11,이동속도,170
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,12,점프력,123
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,13,스타포스,283
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,14,아케인포스,1360
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,15,어센틱포스,770
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,16,STR,62340
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,17,DEX,7545
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,18,INT,4846
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,19,LUK,4740
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,20,HP,85828
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,21,MP,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,22,AP 배분 STR,1498
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,23,AP 배분 DEX,4
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,24,AP 배분 INT,4
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,25,AP 배분 LUK,4
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,26,AP 배분 HP,0
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,27,AP 배분 MP,0
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,28,아이템 드롭률,242
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,29,메소 획득량,151
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,30,버프 지속시간,55
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,31,공격 속도,2
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,32,일반 몬스터 데미지,114.00
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,33,재사용 대기시간 감소 (초),5
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,34,재사용 대기시간 감소 (%),6
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,35,재사용 대기시간 미적용,7
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,36,속성 내성 무시,5.00
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,37,상태이상 추가 데미지,6.00
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,38,무기 숙련도,90
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,39,추가 경험치 획득,324.00
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,40,공격력,10461
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,41,마력,1871
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,42,전투력,206009202
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,final_stat,43,소환수 지속시간 증가,10
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,아크,0,final_stat,0,최소 스탯공격력,136460069
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,아크,0,final_stat,1,최대 스탯공격력,149956118
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,아크,0,final_stat,2,데미지,94.00
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,아크,0,final_stat,3,보스 몬스터 데미지,327.00
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,아크,0,final_stat,4,최종 데미지,56.53
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,아크,0,final_stat,5,방어율 무시,91.16
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,아크,0,final_stat,6,크리티컬 확률,121
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,아크,0,final_stat,7,크리티컬 데미지,128.10
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,아크,0,final_stat,8,상태이상 내성,91
