ocid,character_name,date,list_field,list_index,character_hexa_core_equipment_hexa_core_name,character_hexa_core_equipment_hexa_core_level,character_hexa_core_equipment_hexa_core_type,character_hexa_core_equipment_linked_skill
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,character_hexa_core_equipment,0,크로노 트리거,30,스킬 코어,"[{""hexa_skill_id"": ""크로노 트리거""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,character_hexa_core_equipment,1,바이템포리스,30,스킬 코어,"[{""hexa_skill_id"": ""바이템포리스""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,character_hexa_core_equipment,2,윈드 커터 VI/기가 크래시 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""윈드 커터 VI""}, {""hexa_skill_id"": ""윈드 스트라이크 VI""}, {""hexa_skill_id"": ""스톰 브레이크 VI""}, {""hexa_skill_id"": ""기가 크래시 VI""}, {""hexa_skill_id"": ""점핑 크래시 VI""}, {""hexa_skill_id"": ""어스 브레이크 VI""}, {""hexa_skill_id"": ""타임 피스""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,character_hexa_core_equipment,3,터닝 드라이브 VI/롤링 커브 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""롤링 커브 VI""}, {""hexa_skill_id"": ""롤링 어썰터 VI""}, {""hexa_skill_id"": ""터닝 드라이브 VI""}, {""hexa_skill_id"": ""휠 윈드 VI""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,character_hexa_core_equipment,4,플래시 어썰터 VI/프론트 슬래시 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""플래시 어썰터 VI""}, {""hexa_skill_id"": ""스핀 커터 VI""}, {""hexa_skill_id"": ""프론트 슬래시 VI""}, {""hexa_skill_id"": ""스로잉 웨폰 VI""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,character_hexa_core_equipment,5,문 스트라이크 VI/어퍼 슬래시 VI/쉐도우 레인 VI/인피니트 레조넌스,30,마스터리 코어,"[{""hexa_skill_id"": ""문 스트라이크 VI""}, {""hexa_skill_id"": ""피어스 쓰러스트 VI""}, {""hexa_skill_id"": ""쉐도우 스트라이크 VI""}, {""hexa_skill_id"": ""어퍼 슬래시 VI""}, {""hexa_skill_id"": ""파워 스텀프 VI""}, {""hexa_skill_id"": ""쉐도우 레인 VI""}, {""hexa_skill_id"": ""인피니트 레조넌스""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,character_hexa_core_equipment,6,리미트 브레이크,30,강화 코어,"[{""hexa_skill_id"": ""리미트 브레이크 강화""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,character_hexa_core_equipment,7,조인트 어택,30,강화 코어,"[{""hexa_skill_id"": ""조인트 어택 강화""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,character_hexa_core_equipment,8,쉐도우 플래시,30,강화 코어,"[{""hexa_skill_id"": ""쉐도우 플래시 강화""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,character_hexa_core_equipment,9,에고 웨폰,30,강화 코어,"[{""hexa_skill_id"": ""에고 웨폰 강화""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,character_hexa_core_equipment,10,솔 야누스,30,공용 코어,"[{""hexa_skill_id"": ""솔 야누스""}, {""hexa_skill_id"": ""솔 야누스 : 새벽""}, {""hexa_skill_id"": ""솔 야누스 : 황혼""}]"
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,character_hexa_core_equipment,0,가장 오래된 심연,30,스킬 코어,"[{""hexa_skill_id"": ""가장 오래된 심연""}]"
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,character_hexa_core_equipment,1,절대 심연의 속삭임,30,스킬 코어,"[{""hexa_skill_id"": ""절대 심연의 속삭임""}]"
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,character_hexa_core_equipment,2,플레인 차지드라이브 VI/스칼렛 차지드라이브 VI/거스트 차지드라이브 VI/어비스 차지드라이브 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""플레인 차지드라이브 VI""}, {""hexa_skill_id"": ""스칼렛 차지드라이브 VI""}, {""hexa_skill_id"": ""거스트 차지드라이브 VI""}, {""hexa_skill_id"": ""어비스 차지드라이브 VI""}, {""hexa_skill_id"": ""깨어난 심연""}]"
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,character_hexa_core_equipment,3,지워지지 않는 상처 VI/채워지지 않는 굶주림 VI/걷잡을 수 없는 혼돈 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""지워지지 않는 상처 VI""}, {""hexa_skill_id"": ""채워지지 않는 굶주림 VI""}, {""hexa_skill_id"": ""걷잡을 수 없는 혼돈 VI""}]"
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,character_hexa_core_equipment,4,돌아오는 증오 VI/황홀한 구속 VI/끝없는 고통 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""돌아오는 증오 VI""}, {""hexa_skill_id"": ""황홀한 구속 VI""}, {""hexa_skill_id"": ""끝없는 고통 VI""}]"
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,character_hexa_core_equipment,5,잊혀지지 않는 악몽 VI/잊혀지지 않는 흉몽 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""잊혀지지 않는 악몽 VI""}, {""hexa_skill_id"": ""잊혀지지 않는 흉몽 VI""}]"
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,character_hexa_core_equipment,6,근원의 기억,30,강화 코어,"[{""hexa_skill_id"": ""근원의 기억 강화""}]"
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,character_hexa_core_equipment,7,인피니티 스펠,30,강화 코어,"[{""hexa_skill_id"": ""인피니티 스펠 강화""}]"
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,character_hexa_core_equipment,8,새어 나오는 악몽/새어 나오는 흉몽,30,강화 코어,"[{""hexa_skill_id"": ""새어 나오는 악몽/새어 나오는 흉몽 강화""}]"
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,character_hexa_core_equipment,9,영원히 굶주리는 짐승,30,강화 코어,"[{""hexa_skill_id"": ""영원히 굶주리는 짐승 강화""}]"
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,character_hexa_core_equipment,10,솔 야누스,30,공용 코어,"[{""hexa_skill_id"": ""솔 야누스""}, {""hexa_skill_id"": ""솔 야누스 : 새벽""}, {""hexa_skill_id"": ""솔 야누스 : 황혼""}]"
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,character_hexa_core_equipment,0,생사여탈,30,스킬 코어,"[{""hexa_skill_id"": ""생사여탈""}]"
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,character_hexa_core_equipment,1,크루셜 어썰트,30,스킬 코어,"[{""hexa_skill_id"": ""크루셜 어썰트""}]"
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,character_hexa_core_equipment,2,쿼드러플 스로우 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""쿼드러플 스로우 VI""}]"
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,character_hexa_core_equipment,3,마크 오브 어쌔신 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""마크 오브 어쌔신 VI""}]"
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,character_hexa_core_equipment,4,다크 플레어 VI/쇼다운 챌린지 VI/다크니스 슈리켄,30,마스터리 코어,"[{""hexa_skill_id"": ""쇼다운 챌린지 VI""}, {""hexa_skill_id"": ""다크 플레어 VI""}, {""hexa_skill_id"": ""다크니스 슈리켄""}]"
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,character_hexa_core_equipment,5,써든레이드 VI/포 시즌 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""써든레이드 VI""}, {""hexa_skill_id"": ""포 시즌 VI""}]"
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,character_hexa_core_equipment,6,스프레드 스로우,30,강화 코어,"[{""hexa_skill_id"": ""스프레드 스로우 강화""}]"
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,character_hexa_core_equipment,7,풍마수리검,30,강화 코어,"[{""hexa_skill_id"": ""풍마수리검 강화""}]"
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,character_hexa_core_equipment,8,다크로드의 비전서,30,강화 코어,"[{""hexa_skill_id"": ""다크로드의 비전서 강화""}]"
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,character_hexa_core_equipment,9,스로우 블래스팅,30,강화 코어,"[{""hexa_skill_id"": ""스로우 블래스팅 강화""}]"
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,character_hexa_core_equipment,10,솔 야누스,30,공용 코어,"[{""hexa_skill_id"": ""솔 야누스""}, {""hexa_skill_id"": ""솔 야누스 : 새벽""}, {""hexa_skill_id"": ""솔 야누스 : 황혼""}]"
5077ade4a558a15749275b44421672ff,봉짱,2026-01-05T00:00+09:00,character_hexa_core_equipment,0,크로노 트리거,30,스킬 코어,"[{""hexa_skill_id"": ""크로노 트리거""}]"
5077ade4a558a15749275b44421672ff,봉짱,2026-01-05T00:00+09:00,character_hexa_core_equipment,1,바이템포리스,30,스킬 코어,"[{""hexa_skill_id"": ""바이템포리스""}]"
5077ade4a558a15749275b44421672ff,봉짱,2026-01-05T00:00+09:00,character_hexa_core_equipment,2,윈드 커터 VI/기가 크래시 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""윈드 커터 VI""}, {""hexa_skill_id"": ""윈드 스트라이크 VI""}, {""hexa_skill_id"": ""스톰 브레이크 VI""}, {""hexa_skill_id"": ""기가 크래시 VI""}, {""hexa_skill_id"": ""점핑 크래시 VI""}, {""hexa_skill_id"": ""어스 브레이크 VI""}, {""hexa_skill_id"": ""타임 피스""}]"
5077ade4a558a15749275b44421672ff,봉짱,2026-01-05T00:00+09:00,character_hexa_core_equipment,3,터닝 드라이브 VI/롤링 커브 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""롤링 커브 VI""}, {""hexa_skill_id"": ""롤링 어썰터 VI""}, {""hexa_skill_id"": ""터닝 드라이브 VI""}, {""hexa_skill_id"": ""휠 윈드 VI""}]"
5077ade4a558a15749275b44421672ff,봉짱,2026-01-05T00:00+09:00,character_hexa_core_equipment,4,플래시 어썰터 VI/프론트 슬래시 VI,1,마스터리 코어,"[{""hexa_skill_id"": ""플래시 어썰터 VI""}, {""hexa_skill_id"": ""스핀 커터 VI""}, {""hexa_skill_id"": ""프론트 슬래시 VI""}, {""hexa_skill_id"": ""스로잉 웨폰 VI""}]"
5077ade4a558a15749275b44421672ff,봉짱,2026-01-05T00:00+09:00,character_hexa_core_equipment,5,문 스트라이크 VI/어퍼 슬래시 VI/쉐도우 레인 VI/인피니트 레조넌스,30,마스터리 코어,"[{""hexa_skill_id"": ""문 스트라이크 VI""}, {""hexa_skill_id"": ""피어스 쓰러스트 VI""}, {""hexa_skill_id"": ""쉐도우 스트라이크 VI""}, {""hexa_skill_id"": ""어퍼 슬래시 VI""}, {""hexa_skill_id"": ""파워 스텀프 VI""}, {""hexa_skill_id"": ""쉐도우 레인 VI""}, {""hexa_skill_id"": ""인피니트 레조넌스""}]"
5077ade4a558a15749275b44421672ff,봉짱,2026-01-05T00:00+09:00,character_hexa_core_equipment,6,리미트 브레이크,30,강화 코어,"[{""hexa_skill_id"": ""리미트 브레이크 강화""}]"
5077ade4a558a15749275b44421672ff,봉짱,2026-01-05T00:00+09:00,character_hexa_core_equipment,7,조인트 어택,30,강화 코어,"[{""hexa_skill_id"": ""조인트 어택 강화""}]"
5077ade4a558a15749275b44421672ff,봉짱,2026-01-05T00:00+09:00,character_hexa_core_equipment,8,쉐도우 플래시,30,강화 코어,"[{""hexa_skill_id"": ""쉐도우 플래시 강화""}]"
5077ade4a558a15749275b44421672ff,봉짱,2026-01-05T00:00+09:00,character_hexa_core_equipment,9,에고 웨폰,30,강화 코어,"[{""hexa_skill_id"": ""에고 웨폰 강화""}]"
5077ade4a558a15749275b44421672ff,봉짱,2026-01-05T00:00+09:00,character_hexa_core_equipment,10,솔 야누스,30,공용 코어,"[{""hexa_skill_id"": ""솔 야누스""}, {""hexa_skill_id"": ""솔 야누스 : 새벽""}, {""hexa_skill_id"": ""솔 야누스 : 황혼""}]"
cb69a72111880d7a7def49bcd490dc61,잭페이트,2026-01-05T00:00+09:00,character_hexa_core_equipment,0,디파잉 페이트,30,스킬 코어,"[{""hexa_skill_id"": ""디파잉 페이트""}]"
cb69a72111880d7a7def49bcd490dc61,잭페이트,2026-01-05T00:00+09:00,character_hexa_core_equipment,1,문리트 세레나데,10,스킬 코어,"[{""hexa_skill_id"": ""문리트 세레나데""}]"
cb69a72111880d7a7def49bcd490dc61,잭페이트,2026-01-05T00:00+09:00,character_hexa_core_equipment,2,템페스트 오브 카드 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""템페스트 오브 카드 VI""}]"
cb69a72111880d7a7def49bcd490dc61,잭페이트,2026-01-05T00:00+09:00,character_hexa_core_equipment,3,얼티밋 드라이브 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""얼티밋 드라이브 VI""}, {""hexa_skill_id"": ""페이트 셔플""}]"
cb69a72111880d7a7def49bcd490dc61,잭페이트,2026-01-05T00:00+09:00,character_hexa_core_equipment,4,느와르 카르트 VI,30,마스터리 코어,"[{""hexa_skill_id"": ""느와르 카르트 VI""}]"
