ocid,character_name,date,character_class,character_v_matrix_remain_slot_upgrade_point,list_field,list_index,character_v_core_equipment_slot_id,character_v_core_equipment_slot_level,character_v_core_equipment_v_core_name,character_v_core_equipment_v_core_type,character_v_core_equipment_v_core_level,character_v_core_equipment_v_core_skill_1,character_v_core_equipment_v_core_skill_2,character_v_core_equipment_v_core_skill_3
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,0,1,0,리미트 브레이크,직업 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,1,2,0,조인트 어택,직업 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,2,3,0,쉐도우 플래시,직업 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,3,4,0,에고 웨폰,직업 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,4,1,0,윈드 커터/윈드 스트라이크/스톰 브레이크 강화,강화 코어,60,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,5,2,0,기가 크래시/점핑 크래시/어스 브레이크 강화,강화 코어,60,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,6,3,0,터닝 드라이브/휠 윈드/롤링 커브/롤링 어썰터 강화,강화 코어,60,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,7,4,0,프론트 슬래시/스로잉 웨폰/플래시 어썰터/스핀 커터 강화,강화 코어,60,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,8,5,0,어퍼 슬래시/파워 스텀프/문 스트라이크/피어스 쓰러스트/쉐도우 스트라이크 강화,강화 코어,60,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,9,6,0,쉐도우 레인 강화,강화 코어,60,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,10,1,0,초월자 륀느의 기원,공용 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,11,2,0,트랜센던트,공용 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,12,3,0,오라 웨폰,공용 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,13,4,0,바디 오브 스틸,공용 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,14,5,0,에르다 노바,공용 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,15,6,0,에르다의 의지,공용 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,16,7,0,블링크,공용 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,17,8,0,에르다 샤워,공용 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,18,9,0,로프 커넥트,공용 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,19,10,0,쓸만한 홀리 심볼,공용 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,20,11,0,쓸만한 홀리 파운틴,공용 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,21,12,0,쓸만한 윈드 부스터,공용 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,22,13,0,쓸만한 어드밴스드 블레스,공용 코어,30,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,0,character_v_core_equipment,23,14,0,쓸만한 컴뱃 오더스,공용 코어,30,,,
